"","word","spaced_word"
"671","만들었어요httpsopenkakaocomogqj2ugxc비밀번호는","만들었어요 http sopenkakaocomog qj 2ugxc비밀번호는"
"672","hgu1994","hgu1994"
"673","무서운뎅","무서운 뎅"
"674","존댓말써서","존댓말 써서"
"675","그런듯그냥","그런 듯 그냥"
"676","존댓말로","존댓말로"
"677","필터링해서","필터링해서"
"678","비밀이들아하겐다즈","비밀이들아하겐 다즈"
"679","남았는데여기","남았는데 여기"
"680","방돌이가","방돌이가"
"681","팀사람들","팀 사람들"
"682","친한가봐","친한가봐"
"683","최악인듯집가고","최악인 듯 집 가고"
"684","독거노인이","독거노인이"
"685","느낌이구나효도하면서","느낌이구나 효도하면서"
"686","살아야겠","살아야겠"
"687","인간관계","인간관계"
"688","인간관계","인간관계"
"689","알았는데왜이렇게","알았는데 왜 이렇게"
"690","들까확실히","들까 확실히"
"691","인간관계","인간관계"
"692","있어서힘이","있어서 힘이"
"693","같아서이젠","같아서 이젠"
"694","않다있는","않다 있는"
"695","잘되는몇","잘되는 몇"
"696","너무힘들다","너무 힘들다"
"697","미칠정도로","미칠 정도로"
"698","너무힘들다","너무 힘들다"
"699","인과관계","인과관계"
"700","만든다모든사람들이","만든 다 모든 사람들이"
"701","나혼자만","나 혼자만"
"702","안만난지","안 만난지"
"703","다되간다","다 되간다"
"704","너무힘들다","너무 힘들다"
"705","쉬어질거같아","쉬어질 거 같아"
"706","있을까교수님들","있을까 교수님들"
"707","않으실거야상담센터는","않으실 거야 상담센터는"
"708","숨구멍이라도","숨구멍이라도"
"709","방해한적","방해한 적"
"710","종교상관","종교상관"
"711","성별상관","성별 상관"
"712","아마도좋아해본적은","아마도 좋아해 본 적은"
"713","자기의견","자기 의견"
"714","쓰고가도되","쓰고 가도 되"
"715","행동하기","행동하기"
"716","저사람이","저 사람이"
"717","좋아하는건","좋아하는 건"
"718","생각하기","생각하기"
"719","때문에어느","때문에 어느"
"720","입는다나름","입는 다 나름"
"721","없다이렇게","없다 이렇게"
"722","없고항상","없고 항상"
"723","듣다보니나","듣다 보니 나"
"724","많아졌다아","많아졌다아"
"725","아니지만당장","아니지만 당장"
"726","되거든내가","되거든 내가"
"727","금사빠인걸","금사 빠인 걸"
"728","건지아니면","건지 아니면"
